status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,domestic appliances,766.0,500 <= ... < 1000 DM,1 <= ... < 4 years,4.0,male : single,none,,real estate,66.0,none,own,1.0,,1.0,no,yes,0
0 <= ... < 200 DM,15.0,critical account/other credits existing,domestic appliances,2728.0,,,,male : single,guarantor,2.0,real estate,35.0,,own,3.0,skilled employee/official,1.0,yes,yes,1
... >= 200 DM / salary for at least 1 year,12.0,existing credits paid back duly till now,,1881.0,... < 100 DM,,2.0,female : divorced/separated/married,none,2.0,car or other,44.0,none,,1.0,,1.0,yes,yes,1
... >= 200 DM / salary for at least 1 year,6.0,existing credits paid back duly till now,car (new),709.0,... >= 1000 DM,... < 1 year,2.0,,none,2.0,real estate,27.0,none,own,1.0,unemployed/unskilled - non-resident,1.0,no,no,1
0 <= ... < 200 DM,,existing credits paid back duly till now,domestic appliances,4795.0,... < 100 DM,... < 1 year,4.0,female : divorced/separated/married,none,1.0,unknown/no property,30.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,,1
,,existing credits paid back duly till now,domestic appliances,3416.0,... < 100 DM,1 <= ... < 4 years,3.0,male : single,,2.0,car or other,27.0,none,own,1.0,management/self-employed/highly qualified employee/officer,,no,yes,1
... < 100 DM,18.0,existing credits paid back duly till now,radio/television,2462.0,... < 100 DM,1 <= ... < 4 years,2.0,male : single,none,2.0,car or other,,,own,1.0,skilled employee/official,1.0,,yes,0
no checking account,21.0,critical account/other credits existing,radio/television,2288.0,... < 100 DM,... < 1 year,,female : divorced/separated/married,none,4.0,,23.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,48.0,all credits at this bank paid back duly,others,3566.0,100 <= ... < 500 DM,4 <= ... < 7 years,4.0,male : single,,,car or other,,none,own,1.0,,1.0,no,,1
,6.0,critical account/other credits existing,car (new),860.0,... < 100 DM,... >= 7 years,1.0,female : divorced/separated/married,none,4.0,unknown/no property,39.0,none,own,2.0,,1.0,yes,yes,1
no checking account,12.0,critical account/other credits existing,car (new),682.0,100 <= ... < 500 DM,4 <= ... < 7 years,4.0,female : divorced/separated/married,none,3.0,car or other,,none,,2.0,skilled employee/official,,yes,yes,1
... < 100 DM,36.0,critical account/other credits existing,,5371.0,... < 100 DM,1 <= ... < 4 years,3.0,,guarantor,2.0,building society savings agreement/life insurance,28.0,,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,18.0,critical account/other credits existing,domestic appliances,1582.0,... >= 1000 DM,... >= 7 years,4.0,male : single,none,4.0,car or other,,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,6.0,,domestic appliances,1346.0,100 <= ... < 500 DM,... >= 7 years,2.0,male : single,none,4.0,unknown/no property,42.0,bank,for free,1.0,skilled employee/official,2.0,,yes,1
no checking account,10.0,existing credits paid back duly till now,domestic appliances,1924.0,... < 100 DM,1 <= ... < 4 years,1.0,male : single,,4.0,building society savings agreement/life insurance,38.0,none,own,1.0,skilled employee/official,1.0,yes,no,1
... >= 200 DM / salary for at least 1 year,36.0,existing credits paid back duly till now,domestic appliances,5848.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,1.0,car or other,24.0,none,,1.0,skilled employee/official,1.0,,yes,1
0 <= ... < 200 DM,24.0,critical account/other credits existing,car (used),7758.0,... >= 1000 DM,... >= 7 years,2.0,female : divorced/separated/married,none,4.0,,29.0,,rent,1.0,skilled employee/official,,no,yes,1
0 <= ... < 200 DM,24.0,delay in paying off in the past,others,6967.0,,4 <= ... < 7 years,4.0,male : single,none,4.0,,36.0,none,rent,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,,1282.0,... < 100 DM,1 <= ... < 4 years,2.0,female : divorced/separated/married,,4.0,car or other,,none,rent,1.0,,1.0,no,yes,0
... < 100 DM,9.0,critical account/other credits existing,education,1288.0,100 <= ... < 500 DM,... >= 7 years,3.0,male : single,guarantor,4.0,real estate,48.0,none,own,2.0,skilled employee/official,2.0,no,,1
... < 100 DM,12.0,all credits at this bank paid back duly,business,339.0,... < 100 DM,... >= 7 years,4.0,male : married/widowed,none,1.0,car or other,,bank,own,1.0,unskilled - resident,1.0,no,yes,1
0 <= ... < 200 DM,24.0,,,,100 <= ... < 500 DM,4 <= ... < 7 years,,male : single,none,3.0,,38.0,bank,own,2.0,skilled employee/official,1.0,yes,yes,1
,6.0,critical account/other credits existing,domestic appliances,1898.0,unknown/no savings account,1 <= ... < 4 years,1.0,male : single,none,2.0,real estate,34.0,none,own,2.0,unskilled - resident,2.0,no,yes,1
no checking account,24.0,critical account/other credits existing,domestic appliances,2872.0,100 <= ... < 500 DM,... >= 7 years,3.0,male : single,none,4.0,real estate,36.0,none,own,1.0,skilled employee/official,,yes,yes,1
no checking account,18.0,critical account/other credits existing,car (new),1055.0,... < 100 DM,... < 1 year,,female : divorced/separated/married,none,1.0,building society savings agreement/life insurance,30.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,15.0,existing credits paid back duly till now,repairs,1262.0,500 <= ... < 1000 DM,4 <= ... < 7 years,4.0,male : single,none,3.0,building society savings agreement/life insurance,36.0,none,own,2.0,,1.0,yes,yes,1
0 <= ... < 200 DM,10.0,existing credits paid back duly till now,car (new),7308.0,... < 100 DM,unemployed,2.0,male : single,,4.0,unknown/no property,70.0,bank,for free,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,1
no checking account,36.0,existing credits paid back duly till now,car (new),909.0,500 <= ... < 1000 DM,... >= 7 years,4.0,male : single,none,4.0,building society savings agreement/life insurance,36.0,none,own,,,1.0,no,yes,1
no checking account,6.0,existing credits paid back duly till now,radio/television,2978.0,500 <= ... < 1000 DM,1 <= ... < 4 years,,male : single,,,car or other,32.0,none,own,,,1.0,,yes,1
... < 100 DM,,existing credits paid back duly till now,radio/television,1131.0,... < 100 DM,unemployed,4.0,female : divorced/separated/married,none,2.0,car or other,33.0,,own,1.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,11.0,existing credits paid back duly till now,radio/television,1577.0,... >= 1000 DM,... < 1 year,4.0,female : divorced/separated/married,none,1.0,real estate,20.0,none,own,,skilled employee/official,1.0,no,yes,1
no checking account,24.0,existing credits paid back duly till now,radio/television,3972.0,... < 100 DM,4 <= ... < 7 years,2.0,female : divorced/separated/married,,4.0,,25.0,none,rent,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,24.0,,others,,... < 100 DM,,4.0,,none,4.0,real estate,31.0,none,own,2.0,skilled employee/official,1.0,,yes,0
... < 100 DM,15.0,no credits taken/all credits paid back duly,car (new),950.0,... < 100 DM,... >= 7 years,4.0,male : single,none,3.0,car or other,33.0,none,rent,2.0,skilled employee/official,,no,yes,0
no checking account,12.0,existing credits paid back duly till now,radio/television,763.0,... < 100 DM,1 <= ... < 4 years,4.0,female : divorced/separated/married,none,1.0,real estate,26.0,none,own,1.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,24.0,delay in paying off in the past,radio/television,2064.0,... < 100 DM,unemployed,3.0,female : divorced/separated/married,none,2.0,building society savings agreement/life insurance,34.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
,8.0,,domestic appliances,1414.0,,1 <= ... < 4 years,4.0,male : single,guarantor,,real estate,,none,own,1.0,skilled employee/official,1.0,no,no,1
... < 100 DM,21.0,delay in paying off in the past,retraining,3414.0,... < 100 DM,... < 1 year,2.0,,none,1.0,building society savings agreement/life insurance,26.0,none,own,2.0,skilled employee/official,1.0,no,yes,0
no checking account,30.0,,car (used),7485.0,unknown/no savings account,unemployed,4.0,female : divorced/separated/married,none,1.0,real estate,53.0,bank,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
... < 100 DM,12.0,existing credits paid back duly till now,,2577.0,... < 100 DM,1 <= ... < 4 years,2.0,male : divorced/separated,none,1.0,car or other,42.0,none,own,1.0,skilled employee/official,1.0,no,,1
... < 100 DM,6.0,critical account/other credits existing,domestic appliances,,500 <= ... < 1000 DM,,4.0,male : single,,4.0,car or other,52.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,12.0,existing credits paid back duly till now,domestic appliances,1963.0,... < 100 DM,4 <= ... < 7 years,4.0,male : single,,2.0,car or other,31.0,none,,2.0,,2.0,,yes,1
... < 100 DM,21.0,critical account/other credits existing,,571.0,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,real estate,65.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
no checking account,36.0,delay in paying off in the past,others,9572.0,... < 100 DM,,1.0,male : divorced/separated,none,1.0,car or other,28.0,none,,2.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,36.0,delay in paying off in the past,others,4455.0,... < 100 DM,1 <= ... < 4 years,2.0,male : divorced/separated,,2.0,real estate,30.0,stores,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
... < 100 DM,,all credits at this bank paid back duly,car (new),1647.0,unknown/no savings account,1 <= ... < 4 years,4.0,male : single,none,2.0,,40.0,none,own,2.0,unskilled - resident,2.0,no,,0
no checking account,,critical account/other credits existing,radio/television,3777.0,... >= 1000 DM,1 <= ... < 4 years,4.0,male : single,none,4.0,,50.0,none,own,,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,18.0,critical account/other credits existing,car (new),884.0,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,car or other,36.0,bank,own,1.0,skilled employee/official,2.0,yes,yes,0
no checking account,15.0,critical account/other credits existing,domestic appliances,1360.0,,1 <= ... < 4 years,4.0,male : single,none,2.0,building society savings agreement/life insurance,31.0,none,,2.0,skilled employee/official,1.0,,yes,1
0 <= ... < 200 DM,9.0,all credits at this bank paid back duly,car (used),5129.0,... < 100 DM,... >= 7 years,2.0,female : divorced/separated/married,,,,74.0,bank,for free,1.0,management/self-employed/highly qualified employee/officer,2.0,yes,yes,0
,,critical account/other credits existing,car (new),1175.0,... < 100 DM,unemployed,2.0,male : single,,3.0,car or other,68.0,none,,3.0,unemployed/unskilled - non-resident,1.0,yes,yes,1
,12.0,existing credits paid back duly till now,domestic appliances,674.0,100 <= ... < 500 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,1.0,building society savings agreement/life insurance,,none,,1.0,,1.0,no,yes,0
0 <= ... < 200 DM,18.0,no credits taken/all credits paid back duly,radio/television,3244.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,4.0,car or other,33.0,bank,own,2.0,skilled employee/official,1.0,yes,yes,1
no checking account,24.0,existing credits paid back duly till now,others,,,1 <= ... < 4 years,2.0,male : single,none,3.0,building society savings agreement/life insurance,,none,own,3.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
0 <= ... < 200 DM,48.0,no credits taken/all credits paid back duly,others,3844.0,100 <= ... < 500 DM,4 <= ... < 7 years,4.0,,none,4.0,unknown/no property,34.0,none,,1.0,unskilled - resident,2.0,,yes,0
0 <= ... < 200 DM,27.0,existing credits paid back duly till now,others,3915.0,... < 100 DM,1 <= ... < 4 years,4.0,male : single,none,2.0,car or other,36.0,none,own,1.0,skilled employee/official,2.0,yes,yes,0
no checking account,6.0,,domestic appliances,,... < 100 DM,,2.0,male : married/widowed,none,2.0,real estate,29.0,none,rent,1.0,skilled employee/official,,no,yes,1
0 <= ... < 200 DM,45.0,existing credits paid back duly till now,domestic appliances,3031.0,100 <= ... < 500 DM,1 <= ... < 4 years,4.0,,guarantor,4.0,building society savings agreement/life insurance,21.0,none,rent,1.0,skilled employee/official,,no,yes,0
0 <= ... < 200 DM,9.0,critical account/other credits existing,retraining,,... < 100 DM,... >= 7 years,2.0,female : divorced/separated/married,none,3.0,car or other,34.0,none,own,2.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
,6.0,critical account/other credits existing,domestic appliances,1382.0,... < 100 DM,1 <= ... < 4 years,1.0,female : divorced/separated/married,none,1.0,car or other,28.0,none,own,2.0,skilled employee/official,1.0,yes,,1
0 <= ... < 200 DM,12.0,existing credits paid back duly till now,radio/television,951.0,100 <= ... < 500 DM,... < 1 year,4.0,female : divorced/separated/married,none,4.0,,27.0,bank,rent,4.0,skilled employee/official,1.0,no,yes,0
0 <= ... < 200 DM,24.0,,car (used),2760.0,unknown/no savings account,... >= 7 years,,male : single,none,4.0,unknown/no property,36.0,,for free,1.0,,1.0,yes,yes,1
0 <= ... < 200 DM,18.0,delay in paying off in the past,radio/television,4297.0,... < 100 DM,... >= 7 years,4.0,male : divorced/separated,none,3.0,,40.0,none,own,1.0,management/self-employed/highly qualified employee/officer,1.0,yes,yes,0
no checking account,9.0,critical account/other credits existing,,936.0,500 <= ... < 1000 DM,,4.0,male : single,none,2.0,car or other,52.0,none,own,2.0,skilled employee/official,1.0,yes,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,car (new),,... < 100 DM,1 <= ... < 4 years,,male : married/widowed,none,3.0,real estate,27.0,none,own,1.0,unskilled - resident,1.0,no,yes,1
no checking account,27.0,delay in paying off in the past,others,,... < 100 DM,,3.0,male : single,none,4.0,car or other,26.0,none,own,2.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,12.0,existing credits paid back duly till now,business,902.0,... < 100 DM,4 <= ... < 7 years,4.0,male : married/widowed,none,4.0,building society savings agreement/life insurance,21.0,none,rent,1.0,skilled employee/official,1.0,no,,0
no checking account,12.0,critical account/other credits existing,car (new),1495.0,,,,male : single,none,1.0,real estate,38.0,none,own,2.0,unskilled - resident,2.0,,yes,1
... < 100 DM,30.0,critical account/other credits existing,car (used),10623.0,... < 100 DM,... >= 7 years,,male : single,none,4.0,unknown/no property,38.0,none,for free,3.0,,2.0,yes,,1
no checking account,12.0,critical account/other credits existing,radio/television,1935.0,... < 100 DM,... >= 7 years,4.0,male : single,none,4.0,real estate,43.0,none,own,3.0,skilled employee/official,1.0,yes,yes,1
0 <= ... < 200 DM,12.0,critical account/other credits existing,repairs,1424.0,... < 100 DM,4 <= ... < 7 years,,male : single,none,3.0,building society savings agreement/life insurance,26.0,none,,1.0,skilled employee/official,1.0,no,yes,1
... < 100 DM,24.0,existing credits paid back duly till now,others,6568.0,... < 100 DM,1 <= ... < 4 years,2.0,male : married/widowed,,2.0,car or other,21.0,,own,,unskilled - resident,1.0,no,yes,1
no checking account,12.0,existing credits paid back duly till now,car (used),1413.0,,4 <= ... < 7 years,3.0,male : single,none,2.0,building society savings agreement/life insurance,55.0,,own,1.0,skilled employee/official,1.0,,no,1
